spany,MSE_val,MSE_test,MSE_train
"(120, 1320, 9480, 14400)",61.34407156743971,65.62302384936696,14.859538088596965
"(60, 6360, 9480, 14400)",61.4482212490786,80.30583519422505,15.397791192978568
"(120, 6360, 9480, 21600)",61.630759373636906,85.82118157502954,15.093140753135819
"(360, 1320, 6360, 9480)",61.70547856116389,54.813050783340785,15.068262355897565
"(60, 1320, 9480, 14400)",61.84692043520006,66.40310279281627,15.003530054980548
"(60, 6360, 9480, 21600)",61.94110091395591,88.02904415769466,15.282373895962063
"(60, 360, 14400, 21600)",62.15208346316322,83.98904390316191,16.478484739177294
"(120, 1320, 6360, 14400)",62.37408277030014,60.27289103674333,14.95487339337567
"(60, 1320, 6360, 14400)",62.87707344453711,60.82916811056138,15.077304806139038
"(120, 1320, 6360, 9480)",63.07242028424732,55.97368890795075,15.126533289327337
"(120, 360, 3360, 21600)",63.093019641123355,52.911518031256946,15.341233680995316
"(120, 360, 3360, 14400)",63.11726790002334,48.67275304388639,15.514001300544441
"(360, 6360, 14400, 21600)",63.32547661320401,87.16581222500429,14.618349835627935
"(60, 360, 3360, 14400)",63.38462876838537,48.590044772104505,15.61598143689282
"(60, 360, 3360, 21600)",63.46186536100978,52.89312739268474,15.439429597282428
"(60, 1320, 6360, 9480)",63.55964834478346,56.390568063667544,15.2464498562145
"(60, 120, 3360, 14400)",64.12269138730855,47.859709768500416,15.971910624971025
"(60, 120, 3360, 21600)",64.55087399105341,52.41370584506242,15.796702147452415
"(120, 6360, 14400, 21600)",65.0231311960782,95.50148395731341,15.025056718267232
"(120, 360, 9480, 21600)",65.50777056022501,76.75646108662684,15.807466523675156
"(60, 6360, 14400, 21600)",65.55406666879728,98.67094679685336,15.226162105555503
"(60, 120, 14400, 21600)",66.17329214850642,89.41530965246938,17.763315227554113
"(60, 360, 9480, 21600)",66.47924877067838,77.9708588811754,16.10325368526377
"(120, 360, 6360, 21600)",67.0244107998071,67.85160413552167,15.46701489573775
"(60, 360, 6360, 21600)",67.91966978159994,68.58561613300238,15.677308064618925
"(120, 360, 6360, 9480)",68.62509917010232,56.71957210141267,15.59860056070176
"(120, 360, 6360, 14400)",69.1827245005688,62.84017776838162,15.509777015073594
"(120, 360, 9480, 14400)",69.18874799388271,71.95331700922226,15.752567159543686
"(60, 360, 6360, 9480)",69.31748735344007,57.0697800979106,15.770140163716782
"(60, 360, 6360, 14400)",70.04643653671764,63.410137915937845,15.703164899993448
"(360, 9480, 14400, 21600)",70.21085348733114,95.89247852481587,14.64232189027254
"(60, 360, 9480, 14400)",70.22871126122622,72.98781092122113,16.016536115902152
"(60, 120, 9480, 21600)",70.61094295045979,82.23694920917156,17.09686328227277
"(60, 120, 6360, 21600)",71.27215531979967,70.75104928785484,16.36167145682414
"(60, 120, 6360, 9480)",71.46136920275244,57.604575504971365,16.322390516625262
"(60, 120, 6360, 14400)",73.01218887012715,64.87271757869432,16.328646849068026
"(120, 9480, 14400, 21600)",73.76606487119166,107.77601248551255,15.149124605239235
"(60, 120, 9480, 14400)",74.29677935902441,76.44726044608787,16.887844036569337
"(60, 9480, 14400, 21600)",74.89118193388934,112.28465913970227,15.377137964061838
