segment_id,profile_id,in_train,label_kmeans,label_gmm,label_hdbscan,label_kmedoids_dtw
58_526,58,False,1,1,2,0
58_527,58,False,1,2,-1,0
58_528,58,False,1,1,-1,0
58_529,58,False,1,1,-1,0
58_530,58,False,1,2,-1,0
58_531,58,False,1,2,2,0
58_532,58,False,1,2,-1,0
58_533,58,False,1,1,2,0
58_534,58,False,1,1,2,1
58_535,58,False,1,1,-1,1
58_536,58,False,1,1,2,1
58_537,58,False,1,1,2,1
58_538,58,False,1,1,-1,0
58_539,58,False,1,1,-1,0
58_540,58,False,1,1,2,0
58_541,58,False,1,1,-1,0
58_542,58,False,1,1,2,1
58_543,58,False,1,1,-1,1
58_544,58,False,1,1,2,0
58_545,58,False,1,1,2,1
58_546,58,False,1,1,2,0
58_547,58,False,1,1,2,0
58_548,58,False,1,1,-1,0
58_549,58,False,1,1,-1,0
58_550,58,False,1,2,-1,0
58_551,58,False,1,1,-1,0
58_552,58,False,1,1,-1,0
58_553,58,False,1,2,-1,0
58_554,58,False,1,1,2,0
58_555,58,False,1,1,2,0
58_556,58,False,1,1,-1,0
58_557,58,False,1,1,-1,0
58_558,58,False,1,1,-1,0
58_559,58,False,1,1,-1,0
58_560,58,False,1,1,-1,0
58_561,58,False,1,1,2,0
58_562,58,False,1,1,2,0
58_563,58,False,1,1,2,0
58_564,58,False,1,2,-1,0
58_565,58,False,1,1,-1,0
58_566,58,False,1,1,2,1
58_567,58,False,1,1,2,0
58_568,58,False,1,1,2,1
58_569,58,False,1,1,-1,1
58_570,58,False,1,1,-1,1
58_571,58,False,1,1,-1,0
58_572,58,False,1,1,-1,1
58_573,58,False,1,1,-1,1
58_574,58,False,1,1,2,1
58_575,58,False,1,1,-1,0
58_576,58,False,1,1,-1,0
58_577,58,False,1,1,2,1
58_578,58,False,1,1,2,0
58_579,58,False,1,1,2,1
58_580,58,False,1,1,2,1
58_581,58,False,1,1,-1,1
58_582,58,False,1,1,2,0
58_583,58,False,1,1,2,1
58_584,58,False,1,1,-1,1
58_585,58,False,1,1,-1,1
58_586,58,False,1,1,-1,1
58_587,58,False,1,1,-1,1
58_588,58,False,1,1,2,1
58_589,58,False,1,1,-1,1
58_590,58,False,1,1,2,1
